epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4369765818119049,2.6294703483581543,0.001,0.7861232161521912,1.2028793096542358
1,0.7941591143608093,1.1567938327789307,0.001,0.9059215784072876,0.7663261890411377
2,0.8686122298240662,0.8757468461990356,0.001,0.9418097734451294,0.6113712191581726
3,0.9010852575302124,0.7394796013832092,0.001,0.9710330963134766,0.4749085605144501
4,0.9231114387512207,0.6423753499984741,0.001,0.9685550928115845,0.4658535122871399
5,0.9300546646118164,0.5949962139129639,0.001,0.9754763841629028,0.4126703441143036
6,0.9410143494606018,0.543655276298523,0.001,0.9793215394020081,0.386507123708725
7,0.9444112181663513,0.5177125334739685,0.001,0.9819704294204712,0.3601873517036438
8,0.9510980844497681,0.48151344060897827,0.001,0.976416289806366,0.3666559159755707
9,0.9527645111083984,0.4672410786151886,0.001,0.9838503003120422,0.33716100454330444
10,0.9574217796325684,0.44052428007125854,0.001,0.9818850159645081,0.34063971042633057
11,0.9603486657142639,0.4201899766921997,0.001,0.9829103350639343,0.3152312636375427
12,0.962378203868866,0.41178181767463684,0.001,0.9862428307533264,0.30722635984420776
13,0.9648137092590332,0.3919132947921753,0.001,0.9882935881614685,0.29624250531196594
14,0.9659246206283569,0.38945984840393066,0.001,0.9831666946411133,0.3027575612068176
15,0.9687232971191406,0.36742478609085083,0.001,0.9888063073158264,0.28266119956970215
16,0.9676978588104248,0.36912423372268677,0.001,0.9870973229408264,0.2819422483444214
17,0.9713937640190125,0.3476634621620178,0.001,0.9884644746780396,0.2735865116119385
18,0.9714578986167908,0.3415257930755615,0.001,0.9947022199630737,0.2547386884689331
19,0.9723551273345947,0.3341108560562134,0.001,0.9907715916633606,0.2543925642967224
